Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,44300.000000,44850.000000,44050.000000,44800.000000,41169.292969,8792182
2019-06-11,44800.000000,45000.000000,44550.000000,44850.000000,41215.238281,6664872
2019-06-12,44800.000000,45050.000000,44300.000000,44600.000000,40985.492188,8607439
2019-06-13,44200.000000,44400.000000,43400.000000,43750.000000,40204.382813,16906541
2019-06-14,43750.000000,44150.000000,43300.000000,44000.000000,40434.121094,9322873
2019-06-17,43750.000000,44050.000000,43400.000000,43900.000000,40342.218750,11890424
2019-06-18,43750.000000,44500.000000,43650.000000,44350.000000,40755.757813,7994928
2019-06-19,45450.000000,45450.000000,45000.000000,45350.000000,41674.718750,10417690
2019-06-20,44850.000000,45500.000000,44850.000000,45500.000000,41812.562500,7147785
2019-06-21,45750.000000,45800.000000,45200.000000,45700.000000,41996.351563,9454913
2019-06-24,45200.000000,45800.000000,45200.000000,45500.000000,41812.562500,6085066
2019-06-25,45200.000000,45800.000000,45200.000000,45600.000000,41904.453125,7076774
2019-06-26,45800.000000,46000.000000,45600.000000,45700.000000,41996.351563,9226097
2019-06-27,46000.000000,46600.000000,45750.000000,46500.000000,43065.101563,12603534
2019-06-28,47000.000000,47000.000000,46700.000000,47000.000000,43528.171875,12949231
2019-07-01,47350.000000,47400.000000,46250.000000,46600.000000,43157.714844,11383522
2019-07-02,46200.000000,46900.000000,45850.000000,46250.000000,42833.570313,8463073
2019-07-03,45750.000000,46350.000000,45200.000000,45400.000000,42046.359375,9669368
2019-07-04,45250.000000,46200.000000,45250.000000,46000.000000,42602.042969,6365573
2019-07-05,45950.000000,45950.000000,45250.000000,45650.000000,42277.894531,7235395
2019-07-08,44750.000000,44800.000000,44350.000000,44400.000000,41120.226563,7823843
2019-07-09,44850.000000,45450.000000,44700.000000,45100.000000,41768.519531,7646421
2019-07-10,45550.000000,46150.000000,45500.000000,45550.000000,42185.277344,9253930
2019-07-11,46350.000000,46550.000000,46150.000000,46200.000000,42787.265625,10989751
2019-07-12,46350.000000,46400.000000,45800.000000,46300.000000,42879.882813,5245804
2019-07-15,45950.000000,46650.000000,45750.000000,46450.000000,43018.800781,4717226
2019-07-16,46450.000000,46850.000000,46300.000000,46850.000000,43389.250000,7407824
2019-07-17,46150.000000,46350.000000,45950.000000,46050.000000,42648.347656,5216602
2019-07-18,46450.000000,46450.000000,45650.000000,46100.000000,42694.652344,5143554
2019-07-19,46650.000000,46950.000000,46600.000000,46800.000000,43342.949219,8819393
2019-07-22,46800.000000,47300.000000,46600.000000,47200.000000,43713.394531,9009109
2019-07-23,47350.000000,47550.000000,47050.000000,47300.000000,43806.011719,9061381
2019-07-24,47100.000000,47150.000000,46250.000000,46400.000000,42972.496094,8756522
2019-07-25,47150.000000,47200.000000,46600.000000,47200.000000,43713.394531,8408838
2019-07-26,46650.000000,47150.000000,46550.000000,47150.000000,43667.093750,7873886
2019-07-29,46800.000000,47050.000000,46000.000000,46100.000000,42694.652344,6856846
2019-07-30,46300.000000,46850.000000,46300.000000,46550.000000,43111.414063,5551014
2019-07-31,46200.000000,46600.000000,45000.000000,45350.000000,42000.054688,12872916
2019-08-01,44900.000000,45500.000000,44850.000000,45200.000000,41861.136719,7811181
2019-08-02,44550.000000,45500.000000,44300.000000,44950.000000,41629.601563,12151374
2019-08-05,44350.000000,44600.000000,43600.000000,43950.000000,40703.472656,14214086
2019-08-06,42500.000000,43800.000000,42500.000000,43500.000000,40286.710938,15083824
2019-08-07,43600.000000,43900.000000,43100.000000,43200.000000,40008.875000,10002533
2019-08-08,43250.000000,43500.000000,42650.000000,42650.000000,39499.500000,16926881
2019-08-09,43250.000000,43350.000000,43050.000000,43150.000000,39962.562500,9685147
2019-08-12,44000.000000,44000.000000,43550.000000,43700.000000,40471.937500,8466169
2019-08-13,43500.000000,43500.000000,42950.000000,43000.000000,39823.648438,7276979
2019-08-14,43900.000000,44250.000000,43500.000000,43700.000000,40471.937500,8750135
2019-08-16,43800.000000,43900.000000,43300.000000,43900.000000,40657.156250,9528115
2019-08-19,44350.000000,44350.000000,43500.000000,43600.000000,40379.324219,6014218
2019-08-20,43950.000000,44600.000000,43550.000000,44450.000000,41166.531250,8434205
2019-08-21,44350.000000,44800.000000,44150.000000,44500.000000,41212.839844,6571717
2019-08-22,44500.000000,44700.000000,43850.000000,44050.000000,40796.082031,8061177
2019-08-23,43800.000000,44200.000000,43650.000000,43950.000000,40703.472656,5017381
2019-08-26,43050.000000,43800.000000,42950.000000,43600.000000,40379.324219,7954949
2019-08-27,43650.000000,44200.000000,43600.000000,44050.000000,40796.082031,16883932
2019-08-28,44100.000000,44400.000000,43750.000000,44150.000000,40888.695313,5758333
2019-08-29,44200.000000,44200.000000,43050.000000,43400.000000,40194.097656,10768862
2019-08-30,43750.000000,44300.000000,43750.000000,44000.000000,40749.773438,9899073
2019-09-02,44850.000000,44850.000000,43650.000000,43800.000000,40564.550781,7185537
2019-09-03,43550.000000,43650.000000,43100.000000,43250.000000,40055.183594,9774941
2019-09-04,43250.000000,44100.000000,43150.000000,44100.000000,40842.390625,12441837
2019-09-05,44800.000000,46100.000000,44450.000000,45700.000000,42324.203125,18297430
2019-09-06,46500.000000,46500.000000,45850.000000,46300.000000,42879.882813,9896562
2019-09-09,46450.000000,47000.000000,46300.000000,46900.000000,43435.554688,9434157
